"Tag","Controller","Method","Path","Action","Auth","Permission"
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/bulletins/{academicPeriodId:guid}/pdf","ExportChildBulletinPdf","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/communications","GetChildCommunications","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/fee-situations","GetChildFeeSituations","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/grades","GetChildGrades","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/payments","GetChildPayments","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/payment-summary","GetChildPaymentSummary","JWT",""
"Parent","ParentController","GET","/api/v1/parent/children/{studentId:guid}/photo","GetChildPhoto","JWT",""
"Parent","ParentController","GET","/api/v1/parent/payments/{paymentId:guid}/receipt/pdf","ExportPaymentReceiptPdf","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments","Search","JWT",""
"Payments","PaymentsController","POST","/api/v1/payments","Create","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments/{id:guid}","GetById","JWT",""
"Payments","PaymentsController","PUT","/api/v1/payments/{id:guid}/amount","UpdateAmount","JWT",""
"Payments","PaymentsController","POST","/api/v1/payments/{id:guid}/cancel","Cancel","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments/{id:guid}/fee-type-statement","GetFeeTypeStatement","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments/{id:guid}/fee-type-statement/pdf","ExportFeeTypeStatementPdf","JWT",""
"Payments","PaymentsController","PUT","/api/v1/payments/{id:guid}/notes","UpdateNotes","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments/fee-type-statement","GetFeeTypeStatementForStudent","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments/fee-type-statement/pdf","ExportFeeTypeStatementPdfForStudent","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments/mutation-gate","GetMutationGate","JWT",""
"Payments","PaymentsController","GET","/api/v1/payments/student/{studentId:guid}/summary","GetStudentSummary","JWT",""
"PedagogicalStructure","PedagogicalStructureController","GET","/api/v1/schools/current/pedagogical-structure/classes","GetClasses","JWT",""
"PedagogicalStructure","PedagogicalStructureController","PUT","/api/v1/schools/current/pedagogical-structure/classes","BulkUpdateClasses","JWT",""
"PedagogicalStructure","PedagogicalStructureController","PUT","/api/v1/schools/current/pedagogical-structure/classes/{classId:guid}","UpdateClass","JWT",""
"PedagogicalStructure","PedagogicalStructureController","GET","/api/v1/schools/current/pedagogical-structure/classes/{classId:guid}/locals","GetLocals","JWT",""
"PedagogicalStructure","PedagogicalStructureController","POST","/api/v1/schools/current/pedagogical-structure/initialize","Initialize","JWT",""
"PedagogicalStructure","PedagogicalStructureController","POST","/api/v1/schools/current/pedagogical-structure/locals","CreateLocal","JWT",""
"PedagogicalStructure","PedagogicalStructureController","DELETE","/api/v1/schools/current/pedagogical-structure/locals/{localId:guid}","DeleteLocal","JWT",""
"PedagogicalStructure","PedagogicalStructureController","PUT","/api/v1/schools/current/pedagogical-structure/locals/{localId:guid}","UpdateLocal","JWT",""
"PedagogicalStructure","PedagogicalStructureController","GET","/api/v1/schools/current/pedagogical-structure/summary","GetSummary","JWT",""
"Personnel","PersonnelController","GET","/api/v1/personnel","GetPersonnel","JWT",""
"Personnel","PersonnelController","POST","/api/v1/personnel","CreatePersonnel","JWT",""
"Personnel","PersonnelController","GET","/api/v1/personnel/{id:guid}","GetPersonnelById","JWT",""
"Personnel","PersonnelController","PUT","/api/v1/personnel/{id:guid}","UpdatePersonnel","JWT",""
"Personnel","PersonnelController","GET","/api/v1/personnel/departments","GetDepartments","JWT",""
"Personnel","PersonnelController","POST","/api/v1/personnel/departments","CreateDepartment","JWT",""
"Personnel","PersonnelController","GET","/api/v1/personnel/functions","GetJobFunctions","JWT",""
"Personnel","PersonnelController","POST","/api/v1/personnel/functions","CreateJobFunction","JWT",""
"Personnel","PersonnelController","GET","/api/v1/personnel/kpis","GetKpis","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/class-averages","GetClassAverages","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/dashboard","GetDashboard","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/enrollment-by-class","GetEnrollmentByClass","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/financial-realized-receipts","GetRealizedReceipts","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/financial-realized-receipts/export/excel","ExportRealizedReceiptsExcel","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/financial-realized-receipts/export/pdf","ExportRealizedReceiptsPdf","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/financial-summary","GetFinancialSummary","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/payment-situations","GetPaymentSituationReport","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/payment-situations/export/excel","ExportPaymentSituationReportExcel","JWT",""
"Reports","ReportsController","GET","/api/v1/reports/payment-situations/export/pdf","ExportPaymentSituationReportPdf","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/destinations","GetDestinations","JWT",""
"RevenueAllocation","RevenueAllocationController","POST","/api/v1/revenue-allocation/destinations","CreateDestination","JWT",""
"RevenueAllocation","RevenueAllocationController","PUT","/api/v1/revenue-allocation/destinations/{id:guid}","UpdateDestination","JWT",""
"RevenueAllocation","RevenueAllocationController","POST","/api/v1/revenue-allocation/destinations/{id:guid}/deactivate","DeactivateDestination","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/entries","SearchEntries","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/entries/cash-flow","GetCashFlow","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/entries/export/excel","ExportExcel","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/entries/export/pdf","ExportPdf","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/entries/summary-by-fee-type","GetSummaryByFeeType","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/entries/withholdings","GetWithholdings","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/keys","GetKeys","JWT",""
"RevenueAllocation","RevenueAllocationController","POST","/api/v1/revenue-allocation/keys","CreateKey","JWT",""
"RevenueAllocation","RevenueAllocationController","DELETE","/api/v1/revenue-allocation/keys/{id:guid}","DeleteKey","JWT",""
"RevenueAllocation","RevenueAllocationController","GET","/api/v1/revenue-allocation/keys/{id:guid}","GetKey","JWT",""
"RevenueAllocation","RevenueAllocationController","PUT","/api/v1/revenue-allocation/keys/{id:guid}","UpdateKey","JWT",""
"RevenueAllocation","RevenueAllocationController","POST","/api/v1/revenue-allocation/keys/{id:guid}/activate","ActivateKey","JWT",""
"RevenueAllocation","RevenueAllocationController","POST","/api/v1/revenue-allocation/keys/{id:guid}/close","CloseKey","JWT",""
